Aruba	12.539978867072564	-70.0303771179992
Saint-Barthlemy	17.903522745768228	-62.83584289550781
Colombia	6.080406878112642	-74.5947410876804
Guyana	6.526946433474508	-58.23968891615278
Nicaragua	12.185841968716277	-86.19153572687638
Guatemala	14.706185314718917	-90.57222062466543
Honduras	14.849216632424774	-87.5206715272486
Turks and Caicos Islands	21.712998092651368	-71.93217791748047
Saint Kitts and Nevis	17.287597187778406	-62.713720990900406
United Kingdom	39.710781642368865	-75.09431384858631
